global_topic,event,prev_clusters,next_clusters,prev_papers,next_papers,merged_topics
35,split,1.0,2.0,15.0,7.0,
36,death,,,12.0,0.0,
37,death,,,12.0,0.0,
38,birth,,,3.0,10.0,
42,death,,,9.0,4.0,
44,birth,,,4.0,9.0,
45,death,,,10.0,3.0,
50,split,1.0,2.0,11.0,6.0,
52,birth,,,2.0,9.0,
53,birth,,,2.0,6.0,
54,death,,,5.0,3.0,
56,birth,,,3.0,9.0,
57,death,,,7.0,1.0,
62,birth,,,4.0,10.0,
63,birth,,,4.0,7.0,
64,death,,,5.0,1.0,
65,death,,,8.0,0.0,
66,birth,,,2.0,9.0,
67,death,,,7.0,1.0,
68,death,,,5.0,2.0,
70,birth,,,1.0,5.0,
72,split,1.0,2.0,6.0,6.0,
73,death,,,6.0,1.0,
75,birth,,,0.0,6.0,
77,death,,,5.0,1.0,
80,death,,,6.0,0.0,
83,birth,,,4.0,5.0,
85,death,,,7.0,0.0,
98,birth,,,4.0,5.0,
100,death,,,5.0,0.0,
5,split,3.0,4.0,20.0,15.0,
7,split,1.0,2.0,31.0,15.0,
10,split,1.0,3.0,22.0,12.0,
12,death,,,7.0,4.0,
13,split,2.0,3.0,14.0,16.0,
14,birth,,,1.0,15.0,
22,split,1.0,2.0,14.0,18.0,
23,split,1.0,3.0,11.0,6.0,
29,death,,,6.0,0.0,
32,death,,,5.0,1.0,
34,death,,,6.0,4.0,
35,death,,,7.0,4.0,
41,split,1.0,2.0,14.0,6.0,
42,birth,,,4.0,5.0,
43,death,,,5.0,3.0,
45,birth,,,3.0,8.0,
46,death,,,8.0,1.0,
47,birth,,,1.0,7.0,
48,birth,,,1.0,6.0,
52,death,,,9.0,2.0,
53,death,,,6.0,1.0,
56,split,1.0,2.0,9.0,6.0,
57,birth,,,1.0,6.0,
58,birth,,,4.0,12.0,
60,split,1.0,2.0,6.0,5.0,
62,death,,,10.0,3.0,
66,death,,,9.0,3.0,
68,birth,,,2.0,5.0,
69,birth,,,2.0,7.0,
70,death,,,5.0,1.0,
71,birth,,,2.0,5.0,
72,death,,,6.0,0.0,
75,death,,,6.0,1.0,
76,birth,,,0.0,6.0,
83,death,,,5.0,2.0,
90,birth,,,1.0,9.0,
98,death,,,5.0,3.0,
1,split,3.0,4.0,28.0,39.0,
2,split,4.0,5.0,27.0,42.0,
3,split,2.0,5.0,36.0,38.0,
4,split,2.0,5.0,29.0,33.0,
8,split,1.0,3.0,8.0,21.0,
9,split,3.0,4.0,13.0,16.0,
12,birth,,,4.0,15.0,
14,split,1.0,3.0,15.0,15.0,
16,split,2.0,3.0,7.0,10.0,
18,split,1.0,3.0,9.0,20.0,
20,split,1.0,2.0,5.0,17.0,
25,split,1.0,2.0,10.0,14.0,
26,death,,,13.0,2.0,
28,death,,,9.0,4.0,
29,birth,,,0.0,6.0,
30,split,1.0,2.0,8.0,9.0,
32,birth,,,1.0,15.0,
34,birth,,,4.0,15.0,
36,birth,,,4.0,5.0,
37,birth,,,0.0,7.0,
38,death,,,6.0,0.0,
39,birth,,,0.0,5.0,
42,death,,,5.0,1.0,
43,birth,,,3.0,6.0,
45,split,1.0,2.0,8.0,7.0,
49,split,1.0,4.0,13.0,6.0,
50,death,,,5.0,0.0,
51,split,1.0,2.0,5.0,5.0,
52,birth,,,2.0,9.0,
54,birth,,,0.0,7.0,
56,death,,,6.0,2.0,
57,death,,,6.0,2.0,
58,death,,,12.0,4.0,
69,death,,,7.0,0.0,
70,birth,,,1.0,5.0,
71,death,,,5.0,3.0,
73,birth,,,4.0,5.0,
76,death,,,6.0,4.0,
81,birth,,,4.0,5.0,
90,death,,,9.0,0.0,
96,birth,,,0.0,5.0,
14,merge_from,,,,,"[25, 50]"
2,split,5.0,6.0,42.0,31.0,
6,split,2.0,5.0,19.0,15.0,
8,death,,,21.0,2.0,
11,split,2.0,4.0,17.0,9.0,
13,split,2.0,3.0,20.0,15.0,
17,split,2.0,5.0,15.0,11.0,
20,split,2.0,3.0,17.0,5.0,
21,split,1.0,3.0,15.0,5.0,
22,split,1.0,4.0,10.0,14.0,
26,birth,,,2.0,5.0,
28,birth,,,4.0,12.0,
32,split,1.0,3.0,15.0,9.0,
34,split,2.0,3.0,15.0,10.0,
35,birth,,,1.0,11.0,
36,death,,,5.0,0.0,
37,death,,,7.0,4.0,
41,death,,,5.0,3.0,
43,death,,,6.0,3.0,
45,death,,,7.0,3.0,
46,birth,,,4.0,6.0,
47,death,,,16.0,4.0,
48,death,,,5.0,3.0,
49,death,,,6.0,3.0,
51,death,,,5.0,1.0,
54,death,,,7.0,3.0,
55,birth,,,3.0,7.0,
58,birth,,,4.0,9.0,
60,death,,,5.0,3.0,
63,split,1.0,3.0,5.0,5.0,
65,birth,,,4.0,5.0,
67,birth,,,0.0,6.0,
68,death,,,5.0,4.0,
70,death,,,5.0,2.0,
73,death,,,5.0,1.0,
75,birth,,,2.0,6.0,
81,death,,,5.0,2.0,
96,death,,,5.0,4.0,
0,split,2.0,3.0,40.0,39.0,
4,split,2.0,4.0,28.0,48.0,
5,split,3.0,5.0,21.0,14.0,
7,split,1.0,2.0,20.0,28.0,
8,birth,,,2.0,14.0,
12,split,3.0,5.0,9.0,21.0,
14,split,3.0,4.0,12.0,5.0,
16,split,2.0,3.0,15.0,16.0,
21,split,3.0,4.0,5.0,11.0,
27,split,1.0,2.0,7.0,13.0,
28,split,2.0,4.0,12.0,7.0,
29,split,1.0,2.0,8.0,6.0,
31,birth,,,3.0,9.0,
32,split,3.0,4.0,9.0,9.0,
33,death,,,8.0,3.0,
37,birth,,,4.0,12.0,
38,birth,,,1.0,6.0,
39,death,,,7.0,4.0,
44,split,2.0,3.0,7.0,8.0,
45,birth,,,3.0,9.0,
47,birth,,,4.0,11.0,
48,birth,,,3.0,5.0,
49,birth,,,3.0,8.0,
50,birth,,,3.0,7.0,
52,split,1.0,3.0,6.0,13.0,
55,split,2.0,4.0,7.0,11.0,
58,split,1.0,2.0,9.0,6.0,
60,birth,,,3.0,5.0,
63,death,,,5.0,4.0,
65,death,,,5.0,4.0,
67,split,1.0,2.0,6.0,8.0,
70,birth,,,2.0,5.0,
77,birth,,,2.0,8.0,
82,birth,,,2.0,7.0,
83,birth,,,1.0,6.0,
88,birth,,,2.0,5.0,
91,birth,,,1.0,5.0,
92,birth,,,2.0,5.0,
96,birth,,,4.0,5.0,
0,split,3.0,4.0,39.0,41.0,
3,split,4.0,5.0,40.0,24.0,
7,split,2.0,3.0,28.0,10.0,
9,split,2.0,3.0,22.0,6.0,
10,split,2.0,3.0,17.0,21.0,
11,split,2.0,3.0,22.0,10.0,
13,death,,,15.0,2.0,
18,split,2.0,3.0,7.0,6.0,
22,split,2.0,3.0,16.0,6.0,
23,split,3.0,4.0,15.0,8.0,
31,death,,,9.0,3.0,
33,birth,,,3.0,10.0,
35,death,,,7.0,2.0,
38,death,,,6.0,2.0,
39,birth,,,4.0,6.0,
43,birth,,,3.0,6.0,
44,death,,,8.0,3.0,
46,death,,,6.0,3.0,
47,death,,,11.0,4.0,
49,split,1.0,2.0,8.0,5.0,
51,birth,,,0.0,5.0,
53,birth,,,0.0,5.0,
54,birth,,,3.0,5.0,
55,death,,,11.0,4.0,
56,birth,,,1.0,7.0,
57,birth,,,1.0,5.0,
58,death,,,6.0,2.0,
71,birth,,,2.0,8.0,
72,birth,,,4.0,5.0,
73,birth,,,1.0,8.0,
75,death,,,5.0,2.0,
77,death,,,8.0,3.0,
82,death,,,7.0,0.0,
83,death,,,6.0,0.0,
88,death,,,5.0,1.0,
89,birth,,,2.0,9.0,
91,death,,,5.0,2.0,
92,death,,,5.0,2.0,
93,birth,,,3.0,7.0,
96,death,,,5.0,1.0,
102,birth,,,0.0,5.0,
25,merge_from,,,,,"[2, 4, 15, 17, 50, 27]"
